"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.197225,0.114523888889,0.927899691358
0.1,0.201341,0.157875277778,0.963602391975
0.15,0.2104305,0.214946666667,0.901073703704
0.2,0.223636,0.258202777778,0.63841404321
0.25,0.237013,0.285166388889,0.202888734568
0.3,0.2529625,0.287071944444,-0.404454166667
0.35,0.267883,0.244101666667,-0.997770061728
0.4,0.2783445,0.1757875,-1.37750493827
0.45,0.2852045,0.1037575,-1.65693348765
0.5,0.2900065,0.00800333333333,-1.83240339506
0.55,0.286405,-0.0940391666667,-1.70875401235
0.6,0.279202,-0.170928333333,-1.38666219136
0.65,0.268912,-0.233906944444,-0.982419753086
0.7,0.255192,-0.276591388889,-0.426420987654
0.75,0.239414,-0.279640277778,0.189814506173
0.8,0.226037,-0.252581388889,0.720247067901
0.85,0.2135175,-0.205037777778,1.18017407407
0.9,0.204428,-0.131959722222,1.55011651235
0.95,0.199626,-0.0427797222222,1.74538302469
1,0.199969,0.0515452777778,1.72643333333
1.05,0.205114,0.137866944444,1.50824722222
1.1,0.214375,0.208848888889,1.12697731481
1.15,0.227066,0.254296388889,0.638731635802
1.2,0.2406145,0.275924444444,0.0769103395062
1.25,0.2560495,0.264776944444,-0.529320987654
1.3,0.2687405,0.216852222222,-1.0204779321
1.35,0.27783,0.157970555556,-1.39401975309
1.4,0.2855475,0.0766986111111,-1.69181574074
1.45,0.2865765,-0.0236288888889,-1.72616867284
1.5,0.2821175,-0.106711111111,-1.52444444444
1.55,0.2752575,-0.175406388889,-1.26640046296
1.6,0.264796,-0.239433055556,-0.862581481481
1.65,0.2498755,-0.271636944444,-0.270218364198
1.7,0.2358125,-0.264300555556,0.305100617284
1.75,0.22295,-0.237432222222,0.810284567901
1.8,0.210945,-0.183219166667,1.27539891975
1.85,0.203399,-0.102709444444,1.57568271605
1.9,0.200655,-0.0174358333333,1.6851462963
1.95,0.2015125,0.0709819444444,1.64306527778
2,0.207858,0.154635833333,1.41111682099
2.05,0.217805,0.219043611111,1.01264398148
2.1,0.2306675,0.260394166667,0.499202623457
2.15,0.2450735,0.271255833333,-0.0714583333333
2.2,0.258965,0.252676666667,-0.629045061728
2.25,0.2714845,0.205514166667,-1.11522638889
2.3,0.2804025,0.136056666667,-1.47288858025
2.35,0.285719,0.05145,-1.66407932099
2.4,0.285719,-0.0380158333333,-1.66863148148
2.45,0.281603,-0.121288611111,-1.50962345679
2.5,0.273371,-0.195605277778,-1.18181496914
2.55,0.2611945,-0.248389166667,-0.666468055556
2.6,0.2467885,-0.263443055556,-0.105970061728
2.65,0.2340975,-0.255630277778,0.403501388889
2.7,0.2203775,-0.224093333333,0.908314814815
2.75,0.210259,-0.161400555556,1.32256141975
2.8,0.203742,-0.0844161111111,1.57049537037
2.85,0.2015125,0.00142916666667,1.66164444444
2.9,0.203742,0.0888941666667,1.5693837963
2.95,0.2107735,0.166831388889,1.28095679012
3,0.2214065,0.222378333333,0.856123765432
3.05,0.233926,0.254486944444,0.364331635802
3.1,0.2478175,0.260775277778,-0.171817592593
3.15,0.2611945,0.237908611111,-0.708443209877
3.2,0.2728565,0.185886944444,-1.15444907407
3.25,0.2804025,0.116238888889,-1.45589737654
3.3,0.2848615,0.0359197222222,-1.62702685185
3.35,0.2845185,-0.0539272222222,-1.61400555556
3.4,0.2790305,-0.1346275,-1.39184953704
3.45,0.270284,-0.197701388889,-1.04043333333
3.5,0.258622,-0.242577222222,-0.58394691358
3.55,0.244902,-0.259631944444,-0.0479564814815
3.6,0.231525,-0.248198611111,0.502166820988
3.65,0.218834,-0.206943333333,0.992794444444
3.7,0.209916,-0.142630833333,1.3418287037
3.75,0.2042565,-0.0678377777778,1.55689182099
3.8,0.2025415,0.0189602777778,1.61580524691
3.85,0.2063145,0.102233055556,1.47632916667
3.9,0.213346,0.1723575,1.18615540123
3.95,0.2241505,0.225903611111,0.765821604938
4,0.237013,0.2529625,0.251004012346
4.05,0.2505615,0.252200277778,-0.292555709877
4.1,0.263424,0.2220925,-0.797739660494
4.15,0.273714,0.168165277778,-1.20087052469
4.2,0.280917,0.0968022222222,-1.47182993827
4.25,0.2838325,0.0147680555556,-1.58415185185
4.3,0.2824605,-0.0686952777778,-1.52126851852
4.35,0.2766295,-0.144155277778,-1.28958472222
4.4,0.2673685,-0.202941666667,-0.920912654321
4.45,0.255535,-0.240576388889,-0.447435030864
4.5,0.242158,-0.250199444444,0.0810919753086
4.55,0.2292955,-0.230572222222,0.574154475309
4.6,0.2183195,-0.1895075,0.992318055556
4.65,0.209573,-0.128529722222,1.32573734568
4.7,0.204771,-0.0518311111111,1.52709104938
4.75,0.204085,0.0321086111111,1.54378583333
4.8,0.2083725,0.108997777778,1.39164839506
4.85,0.2152325,0.176930833333,1.09472049383
4.9,0.226723,0.225465333333,0.685809444444
4.95,0.2395855,0.241148055556,0.348896635802
5,0.2515905,0.243339444444,0.155281604938
